"entry","gender","age","marital_status","highest_qualification","nationality","ethnicity","gross_income","region","smoke","amt_weekends","amt_weekdays","type"
"1160","Male",25,"Married","GCSE/O Level","English","White","15,600 to 20,800","South East","No",NA,NA,""
"1161","Male",18,"Married","ONC/BTEC","British","White","2,600 to 5,200","South East","No",NA,NA,""
"1162","Female",58,"Married","GCSE/O Level","English","White","10,400 to 15,600","South East","No",NA,NA,""
"1163","Female",79,"Widowed","Higher/Sub Degree","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1164","Male",62,"Married","No Qualification","English","White","2,600 to 5,200","South East","Yes",10,10,"Hand-Rolled"
"1165","Female",36,"Married","GCSE/CSE","British","White","Under 2,600","South East","No",NA,NA,""
"1166","Female",38,"Divorced","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1167","Male",19,"Single","Other/Sub Degree","British","White","10,400 to 15,600","South East","No",NA,NA,""
"1168","Female",45,"Separated","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1169","Male",54,"Married","Degree","English","White","Above 36,400","South East","No",NA,NA,""
"1170","Female",69,"Widowed","GCSE/O Level","Scottish","White","15,600 to 20,800","South East","No",NA,NA,""
"1171","Female",65,"Widowed","Higher/Sub Degree","British","White","10,400 to 15,600","South East","No",NA,NA,""
"1172","Male",31,"Married","GCSE/CSE","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1173","Female",31,"Married","Degree","British","White","2,600 to 5,200","South East","No",NA,NA,""
"1174","Female",46,"Single","No Qualification","English","White","2,600 to 5,200","South East","Yes",20,20,"Packets"
"1175","Male",37,"Single","ONC/BTEC","Other","White","20,800 to 28,600","South East","No",NA,NA,""
"1176","Female",72,"Married","No Qualification","English","White","Unknown","South East","No",NA,NA,""
"1177","Male",59,"Married","GCSE/O Level","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1178","Female",82,"Widowed","GCSE/O Level","English","White","Refused","South East","No",NA,NA,""
"1179","Male",81,"Widowed","Degree","English","White","28,600 to 36,400","South East","No",NA,NA,""
"1180","Female",65,"Widowed","GCSE/O Level","English","White","2,600 to 5,200","South East","No",NA,NA,""
"1181","Female",48,"Divorced","No Qualification","English","White","15,600 to 20,800","South East","Yes",5,5,"Hand-Rolled"
"1182","Male",49,"Divorced","ONC/BTEC","British","White","Above 36,400","South East","Yes",15,10,"Packets"
"1183","Male",35,"Single","GCSE/O Level","British","White","2,600 to 5,200","South East","Yes",60,40,"Packets"
"1184","Female",73,"Married","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1185","Female",80,"Divorced","No Qualification","British","White","5,200 to 10,400","South East","No",NA,NA,""
"1186","Male",55,"Married","ONC/BTEC","English","White","28,600 to 36,400","South East","No",NA,NA,""
"1187","Male",78,"Widowed","No Qualification","English","White","Refused","South East","No",NA,NA,""
"1188","Female",45,"Single","GCSE/O Level","English","White","Refused","South East","Yes",20,20,"Packets"
"1189","Male",39,"Married","A Levels","English","White","20,800 to 28,600","South East","Yes",20,10,"Packets"
"1190","Male",75,"Married","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1191","Male",65,"Married","Other/Sub Degree","English","Chinese","5,200 to 10,400","South East","No",NA,NA,""
"1192","Male",79,"Divorced","No Qualification","Refused","Refused","2,600 to 5,200","South East","No",NA,NA,""
"1193","Male",75,"Married","GCSE/O Level","English","Chinese","20,800 to 28,600","South East","No",NA,NA,""
"1194","Female",69,"Married","No Qualification","British","White","5,200 to 10,400","South East","No",NA,NA,""
"1195","Female",57,"Single","No Qualification","British","White","15,600 to 20,800","South East","No",NA,NA,""
"1196","Female",29,"Single","Degree","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1197","Male",54,"Married","No Qualification","English","White","20,800 to 28,600","South East","Yes",30,30,"Packets"
"1198","Male",29,"Married","Degree","British","White","20,800 to 28,600","South East","No",NA,NA,""
"1199","Male",42,"Divorced","No Qualification","British","White","10,400 to 15,600","South East","No",NA,NA,""
"1200","Male",28,"Single","Degree","British","White","15,600 to 20,800","South East","Yes",5,5,"Hand-Rolled"
"1201","Female",65,"Widowed","No Qualification","British","White","15,600 to 20,800","South East","No",NA,NA,""
"1202","Male",37,"Married","Degree","English","White","Above 36,400","South East","Yes",0,4,"Packets"
"1203","Female",35,"Single","Degree","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1204","Female",33,"Single","Degree","English","Mixed","15,600 to 20,800","South East","Yes",10,6,"Both/Mainly Packets"
"1205","Male",52,"Married","Degree","Other","White","5,200 to 10,400","South East","Yes",40,40,"Packets"
"1206","Male",57,"Single","Higher/Sub Degree","British","White","20,800 to 28,600","South East","No",NA,NA,""
"1207","Female",31,"Single","Degree","English","White","15,600 to 20,800","South East","No",NA,NA,""
"1208","Male",73,"Married","No Qualification","British","White","5,200 to 10,400","South East","No",NA,NA,""
"1209","Male",43,"Married","Degree","British","White","Above 36,400","South East","No",NA,NA,""
"1210","Male",38,"Single","Degree","English","Black","28,600 to 36,400","South East","No",NA,NA,""
"1211","Female",43,"Married","No Qualification","British","White","Above 36,400","South East","Yes",12,12,"Packets"
"1212","Female",55,"Married","Higher/Sub Degree","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1213","Male",59,"Married","Degree","British","White","Above 36,400","South East","No",NA,NA,""
"1214","Female",33,"Married","Degree","British","White","20,800 to 28,600","South East","No",NA,NA,""
"1215","Female",41,"Married","GCSE/O Level","British","White","5,200 to 10,400","South East","Yes",20,20,"Packets"
"1216","Female",46,"Married","GCSE/CSE","British","White","5,200 to 10,400","South East","Yes",20,20,"Packets"
"1217","Male",57,"Married","Degree","British","White","Above 36,400","South East","Yes",35,35,"Packets"
"1218","Male",40,"Single","A Levels","English","White","15,600 to 20,800","South East","No",NA,NA,""
"1219","Male",57,"Married","GCSE/O Level","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1220","Female",39,"Married","GCSE/O Level","British","White","10,400 to 15,600","South East","Yes",10,7,"Packets"
"1221","Male",67,"Married","Other/Sub Degree","British","White","5,200 to 10,400","South East","Yes",5,5,"Hand-Rolled"
"1222","Female",46,"Single","No Qualification","English","White","2,600 to 5,200","South East","No",NA,NA,""
"1223","Male",39,"Married","Higher/Sub Degree","British","White","28,600 to 36,400","South East","No",NA,NA,""
"1224","Female",55,"Married","GCSE/O Level","British","White","Refused","South East","No",NA,NA,""
"1225","Male",50,"Married","Other/Sub Degree","English","White","15,600 to 20,800","South East","Yes",15,10,"Hand-Rolled"
"1226","Female",70,"Widowed","ONC/BTEC","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1227","Female",44,"Married","Higher/Sub Degree","Other","White","Under 2,600","South East","No",NA,NA,""
"1228","Female",33,"Married","ONC/BTEC","English","White","Under 2,600","South East","No",NA,NA,""
"1229","Male",69,"Divorced","Other/Sub Degree","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1230","Female",70,"Married","No Qualification","English","White","Under 2,600","South East","Yes",10,10,"Packets"
"1231","Female",62,"Widowed","No Qualification","British","White","Refused","South East","No",NA,NA,""
"1232","Female",31,"Married","GCSE/O Level","British","White","Under 2,600","South East","No",NA,NA,""
"1233","Male",70,"Married","Other/Sub Degree","English","White","10,400 to 15,600","South East","No",NA,NA,""
"1234","Male",32,"Married","No Qualification","British","White","28,600 to 36,400","South East","No",NA,NA,""
"1235","Female",75,"Divorced","A Levels","British","White","Refused","South East","No",NA,NA,""
"1236","Male",47,"Married","Higher/Sub Degree","British","White","20,800 to 28,600","South East","No",NA,NA,""
"1237","Male",57,"Married","No Qualification","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1238","Male",86,"Widowed","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1239","Female",32,"Single","GCSE/O Level","English","White","2,600 to 5,200","South East","No",NA,NA,""
"1240","Male",46,"Single","GCSE/O Level","British","White","10,400 to 15,600","South East","Yes",15,15,"Packets"
"1241","Male",51,"Single","No Qualification","English","White","Under 2,600","South East","Yes",10,10,"Packets"
"1242","Female",69,"Married","GCSE/O Level","English","White","10,400 to 15,600","South East","No",NA,NA,""
"1243","Female",73,"Married","GCSE/O Level","British","White","2,600 to 5,200","South East","No",NA,NA,""
"1244","Female",32,"Single","Higher/Sub Degree","English","White","15,600 to 20,800","South East","Yes",20,20,"Packets"
"1245","Female",75,"Married","GCSE/O Level","English","White","Unknown","South East","No",NA,NA,""
"1246","Female",54,"Widowed","GCSE/CSE","English","White","20,800 to 28,600","South East","Yes",25,25,"Packets"
"1247","Female",51,"Married","Higher/Sub Degree","English","White","10,400 to 15,600","South East","No",NA,NA,""
"1248","Female",35,"Married","Degree","British","White","10,400 to 15,600","South East","No",NA,NA,""
"1249","Male",38,"Married","Degree","English","White","Above 36,400","South East","No",NA,NA,""
"1250","Female",72,"Married","GCSE/O Level","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1251","Female",66,"Married","A Levels","English","White","Refused","South East","No",NA,NA,""
"1252","Female",59,"Married","GCSE/CSE","English","White","2,600 to 5,200","South East","No",NA,NA,""
"1253","Male",70,"Married","Degree","British","White","20,800 to 28,600","South East","No",NA,NA,""
"1254","Male",44,"Single","GCSE/CSE","English","White","Refused","South East","No",NA,NA,""
"1255","Female",67,"Married","GCSE/CSE","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1256","Male",35,"Married","GCSE/O Level","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1257","Female",33,"Married","GCSE/O Level","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1258","Male",17,"Single","GCSE/CSE","English","White","2,600 to 5,200","South East","No",NA,NA,""
"1259","Female",45,"Married","GCSE/O Level","British","White","Under 2,600","South East","No",NA,NA,""
"1260","Female",57,"Married","GCSE/O Level","British","White","5,200 to 10,400","South East","No",NA,NA,""
"1261","Female",18,"Single","A Levels","British","White","Under 2,600","South East","No",NA,NA,""
"1262","Male",68,"Separated","A Levels","English","White","15,600 to 20,800","South East","No",NA,NA,""
"1263","Female",27,"Single","Higher/Sub Degree","Other","White","15,600 to 20,800","South East","Yes",12,15,"Hand-Rolled"
"1264","Female",40,"Married","GCSE/CSE","British","White","Under 2,600","South East","Yes",30,18,"Packets"
"1265","Male",77,"Single","GCSE/CSE","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1266","Female",77,"Married","GCSE/O Level","British","White","2,600 to 5,200","South East","No",NA,NA,""
"1267","Male",75,"Married","ONC/BTEC","English","White","Above 36,400","South East","No",NA,NA,""
"1268","Male",39,"Married","ONC/BTEC","British","White","15,600 to 20,800","South East","Yes",15,15,"Packets"
"1269","Female",21,"Single","GCSE/O Level","British","White","2,600 to 5,200","South East","No",NA,NA,""
"1270","Female",59,"Divorced","Degree","British","White","5,200 to 10,400","South East","No",NA,NA,""
"1271","Male",27,"Single","GCSE/CSE","British","White","20,800 to 28,600","South East","No",NA,NA,""
"1272","Female",67,"Married","No Qualification","English","White","2,600 to 5,200","South East","No",NA,NA,""
"1273","Female",50,"Single","Higher/Sub Degree","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1274","Female",64,"Divorced","GCSE/O Level","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1275","Female",79,"Widowed","No Qualification","English","Chinese","5,200 to 10,400","South East","No",NA,NA,""
"1276","Male",31,"Single","GCSE/O Level","English","White","10,400 to 15,600","South East","Yes",10,20,"Both/Mainly Packets"
"1277","Female",19,"Single","A Levels","British","Chinese","10,400 to 15,600","South East","No",NA,NA,""
"1278","Male",42,"Married","Degree","British","White","28,600 to 36,400","South East","No",NA,NA,""
"1279","Male",36,"Married","GCSE/CSE","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1280","Male",36,"Married","GCSE/CSE","English","White","20,800 to 28,600","South East","No",NA,NA,""
"1281","Female",64,"Widowed","GCSE/O Level","British","White","2,600 to 5,200","South East","No",NA,NA,""
"1282","Female",53,"Single","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1283","Female",39,"Married","GCSE/CSE","Irish","White","15,600 to 20,800","South East","Yes",20,20,"Packets"
"1284","Female",39,"Married","Degree","English","White","28,600 to 36,400","South East","No",NA,NA,""
"1285","Female",28,"Married","Degree","British","White","5,200 to 10,400","South East","Yes",7,7,"Packets"
"1286","Male",81,"Married","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1287","Female",79,"Married","No Qualification","English","White","Under 2,600","South East","No",NA,NA,""
"1288","Female",72,"Married","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1289","Female",18,"Single","GCSE/O Level","English","White","2,600 to 5,200","South East","Yes",25,25,"Both/Mainly Hand-Rolled"
"1290","Female",76,"Married","No Qualification","British","White","2,600 to 5,200","South East","No",NA,NA,""
"1291","Female",68,"Widowed","No Qualification","British","White","5,200 to 10,400","South East","Yes",8,8,"Packets"
"1292","Female",28,"Single","GCSE/CSE","English","White","10,400 to 15,600","South East","Yes",20,15,"Packets"
"1293","Female",42,"Divorced","GCSE/O Level","English","White","2,600 to 5,200","South East","No",NA,NA,""
"1294","Female",26,"Single","GCSE/O Level","British","White","5,200 to 10,400","South East","Yes",15,15,"Both/Mainly Packets"
"1295","Female",19,"Single","No Qualification","Welsh","White","2,600 to 5,200","South East","Yes",5,5,"Packets"
"1296","Female",41,"Divorced","Other/Sub Degree","Welsh","White","5,200 to 10,400","South East","Yes",30,30,"Packets"
"1297","Female",82,"Widowed","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1298","Male",36,"Married","Degree","British","Asian","15,600 to 20,800","South East","No",NA,NA,""
"1299","Male",47,"Single","No Qualification","English","White","5,200 to 10,400","South East","Yes",25,25,"Both/Mainly Hand-Rolled"
"1300","Male",77,"Widowed","Other/Sub Degree","Scottish","White","5,200 to 10,400","South East","No",NA,NA,""
"1301","Female",66,"Divorced","No Qualification","English","White","Under 2,600","South East","No",NA,NA,""
"1302","Male",50,"Divorced","Other/Sub Degree","English","White","5,200 to 10,400","South East","Yes",15,15,"Hand-Rolled"
"1303","Female",55,"Divorced","No Qualification","English","White","5,200 to 10,400","South East","No",NA,NA,""
"1304","Female",36,"Married","A Levels","English","White","Under 2,600","South West","Yes",10,0,"Packets"
"1305","Male",79,"Married","No Qualification","Irish","White","Unknown","South West","No",NA,NA,""
"1306","Female",67,"Married","No Qualification","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1307","Female",42,"Single","A Levels","British","White","Refused","South West","No",NA,NA,""
"1308","Female",76,"Married","No Qualification","British","White","Under 2,600","South West","No",NA,NA,""
"1309","Female",44,"Married","Other/Sub Degree","British","White","15,600 to 20,800","South West","No",NA,NA,""
"1310","Female",75,"Married","No Qualification","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1311","Female",24,"Married","Other/Sub Degree","British","White","10,400 to 15,600","South West","No",NA,NA,""
"1312","Male",78,"Married","Other/Sub Degree","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1313","Female",38,"Married","ONC/BTEC","British","White","5,200 to 10,400","South West","No",NA,NA,""
"1314","Male",22,"Single","Other/Sub Degree","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1315","Female",62,"Married","Other/Sub Degree","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1316","Female",40,"Divorced","No Qualification","British","White","5,200 to 10,400","South West","Yes",10,5,"Packets"
"1317","Male",35,"Married","Degree","British","White","20,800 to 28,600","South West","No",NA,NA,""
"1318","Female",45,"Married","ONC/BTEC","British","White","5,200 to 10,400","South West","No",NA,NA,""
"1319","Female",66,"Married","No Qualification","British","White","2,600 to 5,200","South West","No",NA,NA,""
"1320","Female",53,"Divorced","Higher/Sub Degree","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1321","Female",43,"Divorced","GCSE/O Level","English","White","10,400 to 15,600","South West","Yes",5,0,"Packets"
"1322","Female",72,"Widowed","No Qualification","British","White","2,600 to 5,200","South West","Yes",3,3,"Packets"
"1323","Female",72,"Widowed","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1324","Female",67,"Married","Higher/Sub Degree","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1325","Female",37,"Divorced","GCSE/O Level","British","White","5,200 to 10,400","South West","No",NA,NA,""
"1326","Male",38,"Married","ONC/BTEC","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1327","Female",39,"Married","GCSE/O Level","English","White","10,400 to 15,600","South West","Yes",10,6,"Both/Mainly Packets"
"1328","Male",64,"Divorced","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1329","Male",72,"Married","No Qualification","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1330","Male",54,"Married","GCSE/O Level","English","White","10,400 to 15,600","South West","Yes",20,20,"Packets"
"1331","Female",59,"Widowed","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1332","Female",50,"Married","ONC/BTEC","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1333","Male",33,"Married","GCSE/O Level","English","White","Above 36,400","South West","No",NA,NA,""
"1334","Female",45,"Married","Higher/Sub Degree","English","White","20,800 to 28,600","South West","No",NA,NA,""
"1335","Female",73,"Widowed","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1336","Male",68,"Married","Degree","British","White","15,600 to 20,800","South West","No",NA,NA,""
"1337","Female",33,"Married","GCSE/O Level","British","White","10,400 to 15,600","South West","No",NA,NA,""
"1338","Female",21,"Single","ONC/BTEC","British","White","2,600 to 5,200","South West","No",NA,NA,""
"1339","Female",32,"Married","Degree","English","White","20,800 to 28,600","South West","No",NA,NA,""
"1340","Male",37,"Married","Other/Sub Degree","British","White","15,600 to 20,800","South West","No",NA,NA,""
"1341","Female",48,"Single","Degree","English","White","Refused","South West","Yes",10,10,"Hand-Rolled"
"1342","Male",25,"Single","No Qualification","British","White","15,600 to 20,800","South West","Yes",40,20,"Packets"
"1343","Male",61,"Married","No Qualification","English","White","5,200 to 10,400","South West","Yes",30,10,"Hand-Rolled"
"1344","Female",86,"Widowed","No Qualification","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1345","Female",45,"Married","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1346","Female",60,"Divorced","GCSE/O Level","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1347","Female",40,"Single","Degree","British","White","15,600 to 20,800","South West","No",NA,NA,""
"1348","Male",55,"Married","No Qualification","British","White","Refused","South West","No",NA,NA,""
"1349","Male",53,"Separated","GCSE/O Level","Welsh","White","10,400 to 15,600","South West","No",NA,NA,""
"1350","Male",41,"Married","GCSE/O Level","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1351","Female",17,"Single","GCSE/O Level","English","White","Under 2,600","South West","Yes",20,10,"Both/Mainly Packets"
"1352","Female",42,"Divorced","Higher/Sub Degree","English","White","15,600 to 20,800","South West","No",NA,NA,""
"1353","Male",44,"Married","GCSE/O Level","English","White","20,800 to 28,600","South West","No",NA,NA,""
"1354","Female",43,"Married","A Levels","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1355","Female",39,"Married","Other/Sub Degree","Other","White","2,600 to 5,200","South West","Yes",20,20,"Packets"
"1356","Male",67,"Married","No Qualification","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1357","Female",73,"Married","No Qualification","British","White","Under 2,600","South West","No",NA,NA,""
